filename,notes,authors,licenses,urls
"body/bodies/teen/walk/bright_green.png","","bluecarrot16, Evert, TheraHedwig, Benjamin K. Smith (BenCreating), MuffinElZangano, Durrani, Pierre Vigier (pvigier), Eliza Wyatt (ElizaWy), Matthew Krohn (makrohn), Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-ladies, https://opengameart.org/content/lpc-teen-unisex-base-clothes, https://opengameart.org/content/lpc-jump-expanded, https://opengameart.org/content/lpc-revised-character-basics, https://opengameart.org/content/lpc-be-seated, https://gitlab.com/vagabondgame/lpc-characters, https://opengameart.org/content/lpc-male-jumping-animation-by-durrani, https://opengameart.org/content/lpc-jump-expanded"
"head/heads/goblin/adult/walk/bright_green.png","original goblin by Redshrike, commisioned by William.Thomsponj; modular head extracted and enlarged by bluecarrot16","bluecarrot16, Stephen Challener (Redshrike), William.Thomsponj","OGA-BY 3.0, CC-BY 4.0, GPL 2.0, GPL 3.0","https://opengameart.org/content/lpc-goblin, https://opengameart.org/content/lpc-folk"
"head/faces/${head}/neutral/walk/bright_green.png","Original by Redshrike, Expressions by ElizaWy, mapped to all frames by JaidynReiman","JaidynReiman, ElizaWy, Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head, https://opengameart.org/content/ulpc-expanded-expressions"
"legs/skirts/legion/female/walk/maroon.png","original by Nila122 to legion, adapted to v3 bases by bluecarrot16","bluecarrot16, Nila122","OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0","https://opengameart.org/content/lpc-roman-armor, http://opengameart.org/content/lpc-clothing-updates"
"eyes/eyebrows/thick/adult/walk/carrot.png","","ElizaWy","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Hair, https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"neck/tie/bowtie2/adult/walk/leather.png","","ElizaWy","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing/Feminine%2C%20Thin/Accessories, https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing/Masculine%2C%20Thin/Accessories/Neckwear%2001%20-%20Bowtie, https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"facial/earrings/simple/left/adult/walk/blue.png","","bluecarrot16","CC0","https://opengameart.org/content/lpc-pirates"
"hat/accessory/crest_centurion/adult/walk/steel.png","","bluecarrot16, DCSS authors","CC0","http://opengameart.org/content/dungeon-crawl-32x32-tiles, https://opengameart.org/content/cc0-headgear-icons, https://opengameart.org/content/lpc-helmets-mega-pack, https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
"torso/clothes/shortsleeve/tshirt_scoop/teen/walk/tan.png","original by ElizaWy; spellcast/thrust/shoot/hurt/male adapted from original by JaidynReiman","ElizaWy, JaidynReiman, Stephen Challener (Redshrike), Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics, https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing, https://opengameart.org/content/lpc-expanded-sit-run-jump-more, https://opengameart.org/content/lpc-expanded-simple-shirts"
