filename,notes,authors,licenses,urls
"body/bodies/male/combat/olive.png","see details at https://opengameart.org/content/lpc-character-bases; 'Thick' Male Revised Run/Climb by JaidynReiman (based on ElizaWy's LPC Revised)","bluecarrot16, JaidynReiman, Benjamin K. Smith (BenCreating), Evert, Eliza Wyatt (ElizaWy), TheraHedwig, MuffinElZangano, Durrani, Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-male-jumping-animation-by-durrani, https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle, https://opengameart.org/content/lpc-revised-character-basics, https://opengameart.org/content/lpc-be-seated, https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads, https://opengameart.org/content/lpc-jump-expanded, https://opengameart.org/content/lpc-character-bases"
"head/heads/boarman/adult/combat/olive.png","pig by daneeklu adapted to boarman by BenCreating, placed to v3 bases by bluecarrot16","Benjamin K. Smith (BenCreating), Daniel Eddeland (daneeklu)","CC-BY 3.0, GPL 2.0","https://opengameart.org/content/lpc-style-farm-animals, https://opengameart.org/content/lpc-wild-boar, https://opengameart.org/content/lpc-boarman"
"feet/shoes/revised/male/combat/gold.png","original overalls and shoes by ElizaWy, base animations adapted from v3 overalls by bluecarrot16, shoes by JaidynReiman","JaidynReiman, ElizaWy, Bluecarrot16, Stephen Challener (Redshrike), Johannes Sjölund (wulax)","OGA-BY 3.0, GPL 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing, https://opengameart.org/content/lpc-expanded-socks-shoes"
"neck/tie/bowtie2/adult/combat/brown.png","","ElizaWy","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing/Feminine%2C%20Thin/Accessories, https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing/Masculine%2C%20Thin/Accessories/Neckwear%2001%20-%20Bowtie, https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"legs/leggings/male/combat/leather.png","Original bases by Redshrike, thrust/shoot bases by Wulax, original overalls by ElizaWy, base animations adapted from v3 overalls by bluecarrot16, leggings by JaidynReiman","bluecarrot16, ElizaWy, JaidynReiman, Mandi Paugh, William.Thompsonj, Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, GPL 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing, https://opengameart.org/content/lpc-expanded-pants"
"torso/clothes/sleeveless/sleeveless2/male/combat/red.png","original by ElizaWy; sleeveless adapted from original by JaidynReiman","ElizaWy, JaidynReiman, Stephen Challener (Redshrike), Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics, https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing, https://opengameart.org/content/lpc-expanded-sit-run-jump-more, https://opengameart.org/content/lpc-expanded-simple-shirts"
"shield/heater/original/pattern/paly/bg/combat/orange.png","pattern by ElizaWy, mapped by bluecarrot / Sander Franken, remaining angles finished by JaidynReiman","bluecarrot16, Sander Frenken (castelonia), ElizaWy, JaidynReiman","OGA-BY 3.0","https://opengameart.org/content/lpc-shields"
